1,6,20
1,7,26
1,12,2
1,12,13
1,15,19
1,20,23
1,21,25
1,22,27
1,23,1
1,27,18
1,28,15
2,5,30
2,16,2
2,21,9
2,27,8
3,5,1
3,10,26
3,12,19
3,17,16
3,22,8
3,23,15
3,23,30
3,27,19
3,29,16
3,30,25
4,3,15
4,5,2
4,7,18
4,7,26
4,9,18
4,11,8
4,16,1
4,21,1
4,21,8
4,24,26
4,27,5
4,27,8
4,27,9
4,28,12
4,28,14
4,28,25
4,29,1
4,29,17
5,1,12
5,1,25
5,1,30
5,2,6
5,2,9
5,2,11
5,2,20
5,2,21
5,2,27
5,2,30
5,4,11
5,4,28
5,5,14
5,5,28
5,7,11
5,7,14
5,8,7
5,9,6
5,9,8
5,9,23
5,9,30
5,10,5
5,10,14
5,10,24
5,11,5
5,12,3
5,12,23
5,13,3
5,13,4
5,13,5
5,13,6
5,13,17
5,13,29
5,15,29
5,16,3
5,16,9
5,16,20
5,16,21
5,17,28
5,18,4
5,18,16
5,18,17
5,18,24
5,18,29
5,19,4
5,19,10
5,19,14
5,19,24
5,19,25
5,19,30
5,20,27
5,20,28
5,20,30
5,21,9
5,21,28
5,22,3
5,24,11
5,24,12
5,24,14
5,24,20
5,24,21
5,24,28
5,25,3
5,25,9
5,25,14
5,25,27
5,26,3
5,26,8
5,26,19
5,26,20
5,26,29
6,2,11
6,4,5
6,9,6
6,10,24
6,11,5
6,11,16
6,11,21
6,11,26
6,13,17
6,16,7
6,16,19
6,18,24
6,20,8
6,20,17
6,20,27
6,20,30
6,21,26
6,22,1
6,24,6
6,24,14
6,25,22
6,26,8
6,27,12
6,28,11
6,29,6
6,30,4
6,30,26
7,2,18
7,4,10
7,14,23
7,15,1
7,17,26
7,21,5
7,27,10
7,28,2
8,1,10
8,1,19
8,2,9
8,2,10
8,2,18
8,2,19
8,3,5
8,3,6
8,3,8
8,3,9
8,3,14
8,3,15
8,3,17
8,3,20
8,3,23
8,3,24
8,3,27
8,4,1
8,4,2
8,4,6
8,4,10
8,4,15
8,4,25
8,4,26
8,5,2
8,5,9
8,5,15
8,5,18
8,5,19
8,5,20
8,5,25
8,6,15
8,6,16
8,6,18
8,6,22
8,6,26
8,7,2
8,7,10
8,7,13
8,7,15
8,7,18
8,7,19
8,7,23
8,7,26
8,7,30
8,8,2
8,8,10
8,8,13
8,8,18
8,8,19
8,9,10
8,9,18
8,9,26
8,10,26
8,11,5
8,11,6
8,11,8
8,11,12
8,11,15
8,11,16
8,11,18
8,11,21
8,11,26
8,11,27
8,12,2
8,12,9
8,12,10
8,12,13
8,12,16
8,12,22
8,12,23
8,12,26
8,14,1
8,14,2
8,14,4
8,14,8
8,14,13
8,14,17
8,14,18
8,14,20
8,14,22
8,14,23
8,14,29
8,14,30
8,15,1
8,15,8
8,15,9
8,15,10
8,15,13
8,15,18
8,15,19
8,15,25
8,16,1
8,16,10
8,16,19
8,16,26
8,17,1
8,17,2
8,17,15
8,17,22
8,17,26
8,19,10
8,20,1
8,20,13
8,20,23
8,20,25
8,21,1
8,21,9
8,21,10
8,21,13
8,21,19
8,21,23
8,21,25
8,21,26
8,22,1
8,22,8
8,22,10
8,22,18
8,22,19
8,22,26
8,23,1
8,23,10
8,23,13
8,23,19
8,23,25
8,24,1
8,24,15
8,24,26
8,25,9
8,25,26
8,27,1
8,27,7
8,27,9
8,27,10
8,27,13
8,27,16
8,27,18
8,27,23
8,27,30
8,28,1
8,28,2
8,28,6
8,28,7
8,28,8
8,28,9
8,28,12
8,28,13
8,28,15
8,28,16
8,28,18
8,28,19
8,28,22
8,28,23
8,28,25
8,28,26
8,28,27
8,28,29
8,29,1
8,29,4
8,29,7
8,29,10
8,29,12
8,29,16
8,29,17
8,29,19
8,29,20
8,29,22
8,29,23
8,29,24
8,29,25
8,30,10
8,30,13
8,30,15
8,30,16
8,30,18
8,30,26
9,1,6
9,1,9
9,2,10
9,2,18
9,3,8
9,3,24
9,3,27
9,3,28
9,4,2
9,4,3
9,4,6
9,4,10
9,4,15
9,4,24
9,4,25
9,4,26
9,5,1
9,5,2
9,5,14
9,5,15
9,5,18
9,5,19
9,6,14
9,6,15
9,6,17
9,6,27
9,7,2
9,7,3
9,7,4
9,7,13
9,7,15
9,7,19
9,7,21
9,7,23
9,7,24
9,8,7
9,8,13
9,8,18
9,8,19
9,8,30
9,9,20
9,10,5
9,10,11
9,10,26
9,11,6
9,11,12
9,11,18
9,11,27
9,12,2
9,12,4
9,12,6
9,12,7
9,12,9
9,12,10
9,12,13
9,12,16
9,12,17
9,12,19
9,12,20
9,12,22
9,12,26
9,13,2
9,13,4
9,13,9
9,14,2
9,14,4
9,14,13
9,14,20
9,14,29
9,14,30
9,15,1
9,15,10
9,15,19
9,15,22
9,16,2
9,16,10
9,16,24
9,16,25
9,16,26
9,17,2
